dataTime	측정일
mangName	측정망 정보
so2Value	아황산가스 농도
coValue	일산화탄소 농도
o3Value	오존 농도
no2Value	이산화질소 농도
pm10Value	미세먼지(PM10) 농도
pm10Value24	"미세먼지(PM10)
24시간예측이동농도"
pm25Value	미세먼지(PM2.5) 농도
pm25Value24	"미세먼지(PM2.5)
24시간예측이동농도"
khaiValue	통합대기환경수치
khaiGrade	통합대기환경지수
so2Grade	아황산가스 지수
coGrade	일산화탄소 지수
o3Grade	오존 지수
no2Grade	이산화질소 지수
pm10Grade	"미세먼지(PM10) 24시간 등급"
pm25Grade	"미세먼지(PM2.5) 24시간 등급"
pm10Grade1h	"미세먼지(PM10) 1시간 등급"
pm25Grade1h	"미세먼지(PM2.5) 1시간 등급"


등급	     좋음	보통	나쁨	매우나쁨
Grade 값	  1	  2	   3	   4
